,experiment_id,trial_id,created_checkpoint_uuid,experiment_seed,checkpoint_uuid,dataset,encoder,freeze_encoder,global_batch_size,img_rescale_size,keep_enc_fc,lr,method,momentum,normalize_data,pred_head_features,pred_head_structure,scheduler,split_seed,split_size,test_augmentation,train_augmentation,use_larc,weight_decay,auroc,ece,test_acc,test_auroc,test_ece,test_f1,test_loss,v_acc,v_f1,v_loss,method_plain,down_ds,method_label,enc_ds_raw,enc_ds
383,11660,84786,2db83a66-1499-4351-831e-8ffa187e0938,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,simclr-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.8537161350250244,0.0382109992206096,0.4746518135070801,0.7878530025482178,0.0461608096957206,0.4142103791236877,1.737412691116333,0.4582000076770782,0.4535988569259643,1.4550964832305908,simclr,Kather,simclr-supervised,kather,Kather
386,11660,84808,36b3190a-d421-4450-bf6c-c4281e1b5b4b,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simclr-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,1.0,plain,light_stack,False,0.0001,0.9587370753288268,0.0643160790205001,0.7738161683082581,0.9546030163764954,0.0939494222402572,0.7023812532424927,0.7196524143218994,0.728600025177002,0.7218852639198303,0.7574477195739746,simclr,Kather,simclr-supervised,kather,Kather
387,11660,84809,569b2250-e322-4726-abdf-340514cd8efa,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,simclr-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.8498996496200562,0.0258225314319133,0.515320360660553,0.8062874674797058,0.0372378267347812,0.4199053049087524,1.437418818473816,0.4736000001430511,0.4498199820518493,1.4159269332885742,simclr,Kather,simclr-supervised,kather,Kather
391,11660,84813,082d3e26-d9f0-43fe-b52f-c1925fca9bff,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,simclr-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.8646596074104309,0.0356935895979404,0.4700556993484497,0.8275212645530701,0.068505123257637,0.4222639501094818,1.4717366695404053,0.4968000054359436,0.4970009326934814,1.3799684047698977,simclr,Kather,simclr-supervised,kather,Kather
392,11660,84814,6d880682-d12a-476e-9737-3192bc3b725c,1643118217,4fdf074d-0965-43e2-8dc2-b85d3550082b,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simclr,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.9845770597457886,0.0574749708175659,0.8296657204627991,0.9767568707466124,0.0775734633207321,0.7761197090148926,0.537867546081543,0.8633999824523926,0.8610531687736511,0.468183159828186,simclr,Kather,SimCLR,kather,Kather
397,11660,84820,278bf9de-e071-416c-a794-aebbf84e6fc7,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simclr-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.9339998364448548,0.0629997327923774,0.6015320420265198,0.8684996962547302,0.1266778409481048,0.5463172793388367,1.4006553888320925,0.6632000207901001,0.6674525141716003,0.9720152616500854,simclr,Kather,simclr-supervised,kather,Kather
398,11660,84821,1399ee7e-b6fa-43ef-a96d-723a66e058d2,1643118217,4fdf074d-0965-43e2-8dc2-b85d3550082b,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simclr,0.9,True,128.0,three_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9971423745155334,0.0150060914456844,0.9153203368186952,0.9931240081787108,0.011070467531681,0.8829467296600342,0.2381327450275421,0.9413999915122986,0.9422221779823304,0.1763136237859726,simclr,Kather,SimCLR,kather,Kather
400,11660,84823,009c0a3a-5bfd-4e52-87fa-215f761c68d9,1643118217,4fdf074d-0965-43e2-8dc2-b85d3550082b,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simclr,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.987151026725769,0.0718814060091972,0.8362116813659668,0.9788890480995178,0.0871153697371482,0.7819984555244446,0.5510750412940979,0.864799976348877,0.8630963563919067,0.5053392052650452,simclr,Kather,SimCLR,kather,Kather
401,11660,84824,9696c256-07c7-46e3-94e8-ba6b34260bed,1643118217,4fdf074d-0965-43e2-8dc2-b85d3550082b,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,simclr,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.9853748679161072,0.0632178485393524,0.8417827486991882,0.9773911237716676,0.072305142879486,0.8015666604042053,0.5050316452980042,0.8640000224113464,0.8625988364219666,0.4709748029708862,simclr,Kather,SimCLR,kather,Kather
403,11660,84826,f7d78bbb-cd34-4f0e-aa27-6b43a6692eda,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simclr-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9473334550857544,0.0398516878485679,0.6981894373893738,0.8888230919837952,0.0799622684717178,0.6159989833831787,1.222852349281311,0.7050999999046326,0.6963330507278442,0.8636584281921387,simclr,Kather,simclr-supervised,kather,Kather
404,11660,84827,c7434518-8ef0-4f10-a43f-a1199f50fe43,1643118217,4fdf074d-0965-43e2-8dc2-b85d3550082b,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simclr,0.9,True,128.0,one_layer_mlp,True,42.0,1.0,plain,light_stack,False,0.0001,0.997542679309845,0.012243939563632,0.9100278615951538,0.9931572675704956,0.0080606825649738,0.8754255771636963,0.2430673986673355,0.945900022983551,0.947038471698761,0.155189648270607,simclr,Kather,SimCLR,kather,Kather
406,11660,84830,bfe95571-c53a-4f9a-a953-0b886970c1dd,1643118217,4fdf074d-0965-43e2-8dc2-b85d3550082b,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simclr,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9971575140953064,0.0077785947360098,0.9029247760772704,0.9926429390907288,0.0141828246414661,0.8653607964515686,0.2667398750782013,0.9408000111579896,0.9418435096740724,0.1697733998298645,simclr,Kather,SimCLR,kather,Kather
407,11660,84831,b61f4400-8884-43b2-8c48-fbd71fab7920,1643118217,4fdf074d-0965-43e2-8dc2-b85d3550082b,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,simclr,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9929435849189758,0.0095330066978931,0.8912256360054016,0.986896812915802,0.0206823982298374,0.849561333656311,0.3149971663951874,0.911899983882904,0.9128994345664978,0.2744649946689605,simclr,Kather,SimCLR,kather,Kather
408,11660,84832,b700469a-2df8-4279-89b8-1a7fe41e4723,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simclr-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.9300470352172852,0.0427000373601913,0.6140668392181396,0.8623631596565247,0.1002095490694046,0.5512795448303223,1.5654877424240112,0.6585000157356262,0.6603138446807861,1.011964201927185,simclr,Kather,simclr-supervised,kather,Kather
414,11660,84839,8b0358d3-87ab-484e-a855-86d58764609d,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simclr-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9499330520629884,0.0221594162285327,0.7065459489822388,0.8855328559875488,0.0696969553828239,0.6063022017478943,1.0241143703460691,0.7117000222206116,0.7027614116668701,0.8208240270614624,simclr,Kather,simclr-supervised,kather,Kather
415,11660,84840,20c556d9-23cd-49a4-8a77-f128f0960e8d,1643118217,4fdf074d-0965-43e2-8dc2-b85d3550082b,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,simclr,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.9886876344680786,0.0442904531955719,0.858495831489563,0.9849459528923036,0.0597061552107334,0.8226674199104309,0.4069766700267792,0.8780999779701233,0.8766063451766968,0.4017248153686523,simclr,Kather,SimCLR,kather,Kather
416,12282,93650,db43109d-5360-42b9-8a82-f405820d0db9,1643118217,,patchcamelyon,resnet50,True,32,96,True,0.005,paws-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.6110684871673584,0.1222952604293823,0.595489501953125,0.6931631565093994,0.069913275539875,0.5836442708969116,0.6481380462646484,0.5665283203125,0.5502176284790039,0.7367063760757446,paws,PCam,paws-supervised,kather_norm_224,Kather
417,12282,93651,1998f851-91dd-423f-bf3c-111d81069711,1643118217,64ecb7b1-f885-4a29-9536-04e4aa8e8d1b,patchcamelyon,resnet50,True,32,96,True,0.005,paws,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.8619481325149536,0.0584270656108856,0.747650146484375,0.8416472673416138,0.039194393903017,0.7445618510246277,0.524193286895752,0.756561279296875,0.7543095946311951,0.5047140121459961,paws,PCam,PAWS,kather_norm_224,Kather
418,12282,93652,3798f69a-b2ed-412e-a422-87b43b11842c,1643118217,64ecb7b1-f885-4a29-9536-04e4aa8e8d1b,patchcamelyon,resnet50,2620,32,96,True,0.005,paws,0.9,True,128.0,three_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.937269389629364,0.0207610391080379,0.80181884765625,0.9161627292633056,0.0481828153133392,0.7981663942337036,0.4106563329696655,0.849853515625,0.8489616513252258,0.330670952796936,paws,PCam,PAWS,kather_norm_224,Kather
419,12282,93653,5b608d3f-4564-4c02-8377-b1a98d523f1d,1643118217,64ecb7b1-f885-4a29-9536-04e4aa8e8d1b,patchcamelyon,resnet50,2620,32,96,True,0.005,paws,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.912423849105835,0.0292111095041036,0.766204833984375,0.8905277252197266,0.0672333985567092,0.7607743740081787,0.4736658334732055,0.812957763671875,0.8113350868225098,0.3999425172805786,paws,PCam,PAWS,kather_norm_224,Kather
420,12282,93658,4be40c73-332d-49ba-b802-4593f75ecf79,1643118217,,patchcamelyon,resnet50,True,32,96,True,0.005,paws-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.6272311806678772,0.0985260084271431,0.596160888671875,0.6591750383377075,0.0794529318809509,0.5905348062515259,0.6983059048652649,0.589202880859375,0.5829541683197021,0.7877411842346191,paws,PCam,paws-supervised,kather_norm_224,Kather
421,12282,93671,65bbf6c5-6fb1-4206-a5c1-76bc22e49a71,1643118217,64ecb7b1-f885-4a29-9536-04e4aa8e8d1b,patchcamelyon,resnet50,True,32,96,True,0.005,paws,0.9,True,128.0,three_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.845995306968689,0.0325444899499416,0.743682861328125,0.83514404296875,0.0241130031645298,0.7400779724121094,0.5292730331420898,0.746307373046875,0.7434853315353394,0.5187524557113647,paws,PCam,PAWS,kather_norm_224,Kather
422,12282,93673,1849a3dd-3d14-4e25-971a-efc04f5fc525,1643118217,,patchcamelyon,resnet50,2620,32,96,True,0.005,paws-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.8195681571960449,0.0554514676332473,0.69000244140625,0.8092469573020935,0.0791583955287933,0.6783765554428101,0.5964952707290649,0.714996337890625,0.7063620090484619,0.5780797600746155,paws,PCam,paws-supervised,kather_norm_224,Kather
423,12282,93677,f4eacc79-e867-4d94-9b22-c6f7f45ea7dc,1643118217,,patchcamelyon,resnet50,2620,32,96,True,0.005,paws-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.8593044281005859,0.0203887708485126,0.72528076171875,0.8334819078445435,0.0362364798784256,0.7198020815849304,0.5400564074516296,0.756134033203125,0.752860963344574,0.4914129674434662,paws,PCam,paws-supervised,kather_norm_224,Kather
424,12286,93660,174c6532-358f-47c9-b836-101331af98c7,1643118217,de9fc489-6960-46c4-83b9-c5543f8899be,patchcamelyon,resnet50,True,32,96,True,0.005,paws,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.8391228914260864,0.0331564247608184,0.74078369140625,0.8267784118652344,0.0168642587959766,0.7402876615524292,0.520893394947052,0.75909423828125,0.7589659094810486,0.5026340484619141,paws,PCam,PAWS,kather_norm_224,Kather
425,12286,93661,3014ed65-bfac-40d5-b32b-62f31ed43220,1643118217,de9fc489-6960-46c4-83b9-c5543f8899be,patchcamelyon,resnet50,2620,32,96,True,0.005,paws,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9034862518310548,0.0712748765945434,0.797454833984375,0.8975801467895508,0.0873134136199951,0.7959120273590088,0.4750156998634338,0.816070556640625,0.8155353665351868,0.4438398778438568,paws,PCam,PAWS,kather_norm_224,Kather
